UNIDADE_DA_FEDERACAO;MUNICIPIO;NUMERO_REGISTRO_ESTABELECIMENTO;STATUS_DO_REGISTRO;CNPJ;RAZAO_SOCIAL;NOME_FANTASIA;AREA_ATUACAO;ATIVIDADE;CLASSIFICACAO
SC;Gaspar;SC0001201;Ativo;**.***.101/***-**;BUNGE ALIMENTOS S/A;BUNGE ALIMENTOS S/A;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO EM GRANEL E COMERCIALIZADO EM EMBALAGEM PROPRIA
MG;Belo Horizonte;MG0008257;Ativo;**.***.915/***-**;CARREFOUR COMERCIO E INDUSTRIA LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SC;Tangará;SC0010669;Ativo;**.***.247/***-**;LACTICINIOS TIROL LTDA  ;LACTICÍNIOS TIROL LTDA;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SC;São José do Cedro;SC0006378;Ativo;**.***.247/***-**;LACTICINIOS TIROL LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;Guaratinguetá;SP0028231;Ativo;**.***.510/***-**;COOPERATIVA DE LATICINIOS SERRAMAR;COOPERATIVA DE LATICINIOS SERRAMAR;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SC;São José do Cedro;SC0021903;Ativo;**.***.235/***-**;COOPERATIVA AGROINDUSTRIAL ALFA;COOPERALFA;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
RJ;Rio Bonito;RJ0014958;Ativo;**.***.326/***-**;CENTRAL RIO AGROPECUÁRIA LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;São Paulo;SP0031763;Ativo;**.***.915/***-**;CARREFOUR COMÉRCIO E INDÚSTRIA LTDA - CARREFOUR IMIGRANTES;SPS;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
GO;Jataí;GO0009075;Ativo;**.***.618/***-**;COOPERATIVA AGROINDUSTRIAL DOS PRODUTORES RURAIS DO SUDOESTE GOIANO  - COMIGO;COMIGO;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MT;Primavera do Leste;MT0002330;Ativo;**.***.897/***-**;sinagro produtos agropecuários s.a;sinagro produtos agropecuários s.a;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;Tietê;SP0026450;Ativo;**.***.778/***-**;FENIX AGRO-PECUS INDUSTRIAL LTDA;QUIMIFOL;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE ORGÂNICO
MG;São Gotardo;MG0002828;Ativo;**.***.642/***-**;Cooperativa Agropecuária do Alto Paranaíba - Coopadap ;cooperativa agropecuária do alto paranaiba - coopadap ;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;Cabreúva;SP0051659;Ativo;**.***.843/***-**;ENZIMAC INDUSTRIA ORGANICA LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
SP;Cabreúva;SP0036625;Cancelado;**.***.099/***-**;technes agricola lda;TECHNES AGRÍCOLA LTDA;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE ORGÂNICO
SP;Olímpia;SP0040568;Ativo;**.***.060/***-**;industria quimica kimberlit ltda;Kimberlit Agrociências;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;INOCULANTE
GO;Formoso;GO0013110;Ativo;**.***.930/***-**;CALCÁRIO SANTA TEREZA;;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;CORRETIVO
PR;Ponta Grossa;PR0018600;Ativo;**.***.525/***-**;LOUIS DREYFUS COMPANY BRASIL S.A.;LOUIS DREYFUS COMPANY BRASIL S.A.;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EM GRANEL
